site_name,wan_total,wan0_label,wan0_ip,wan0_type,wan0_isp,wan0_interface,backup/standby,wan1_label,wan1_ip,wan1_type,wan1_isp,wan1_interface,backup/standby,wan2_label,wan2_ip,wan2_type,wan2_isp,wan2_interface,backup/standby,sim_total
218_Oxford_Westgate,2,Kerv-TRB,95.129.20.25,WIRELESS,Wireless Logic,GE4,Yes,VCG-SoGEA,185.14.214.234,WIRED,Vcg Technology Services,GE6,No
219_Norwich,2,VCG-ADSL,185.14.214.247,WIRED,,GE6,No,Kerv-TRB,95.129.20.21,WIRELESS,Wireless Logic,GE4,Yes
220_Northampton,2,VCG-SoGEA,185.14.214.248,WIRED,Vcg Technology Services Limited,GE6,No,Kerv-USB-4G,95.129.20.19,WIRELESS,Wireless Logic,USB2,No
221_222_Brown_Thomas,2,Kerv-USB-4G,95.129.20.42,WIRELESS,Wireless Logic,USB2,Yes,Kerv-USB-4G,95.129.20.28,WIRELESS,Wireless Logic,USB1,No
225_Bracknell,3,Kerv-USB-4G,95.129.20.28,WIRELESS,Wireless Logic,USB2,Yes,VCG-ADSL,185.14.215.8,WIRED,Vcg Technology Services,GE6,No,Kerv-USB-4G,95.129.20.40,WIRELESS,Wireless Logic,USB1,No
229_Fort_Kinnaird,2,VCG-SoGEA,185.14.215.9,WIRED,Vcg Technology Services,GE6,No,Kerv-USB-4G,95.129.20.29,WIRELESS,Wireless Logic,USB1,Yes
231_Cardiff,3,Kerv-USB-4G,95.129.20.26,WIRELESS,Wireless Logic,USB1,Yes,VCG-ADSL,185.14.215.10,WIRED,Vcg Technology Services,GE5,No,Kerv-USB-4G,95.129.20.42,WIRELESS,Wireless Logic,USB2,No
232_Battersea,3,Kerv-TRB_Voda,95.129.20.43,WIRELESS,Wireless Logic,GE4,Yes,VCG-FTTP,109.68.14.73,WIRED,Vcg Technology Services,GE3,No,Kerv-TRB_O2,95.129.20.24,WIRELESS,Wireless Logic Limited,GE6,No
233_Kings_Cross_Offspring,3,Kerv-TRB_O2,95.129.20.23,WIRELESS,,GE6,No,Kerv-TRB_Voda,95.129.20.23,WIRELESS,Wireless Logic,GE5,Yes,VCG-4G-Vodafone,148.252.144.54,WIRED,Vodafone,GE3,No
234_Newcastle,3,Kerv-TRB_EE,95.129.20.28,WIRELESS,Wireless Logic,GE5,No,Kerv-TRB_Voda,95.129.20.24,WIRELESS,Wireless Logic,GE6,Yes,VCG-ADSL,109.68.14.74,WIRED,Vcg Technology Services Limited,GE4,No
235_Reading ,3,Kerv-TRB_EE,95.129.20.41,WIRELESS,Wireless Logic,GE4,No,Kerv-TRB_Voda,95.129.20.43,WIRELESS,Wireless Logic,GE5,Yes,VCG-ADSL,185.14.215.11,WIRED,Vcg Technology Services Limited,GE6,No
236_Southampton,3,VCG-ADSL,185.137.66.223,WIRED,Vcg Technology Services Limited,GE3,No,Kerv-TRB_EE,95.129.20.42,WIRELESS,Wireless Logic,GE6,No,Kerv-TRB_O2,95.129.20.17,WIRELESS,Wireless Logic,GE5,Yes
237_Leeds_Briggate,3,Kerv-TRB,95.129.20.29,WIRELESS,Wireless Logic,GE4,Yes,Kerv-TRB,95.129.20.24,WIRELESS,Wireless Logic,GE5,No,VCG-ADSL,109.68.15.123,WIRED,Vcg Technology Services,GE6,No
238_Angel,2,Kerv-TRB,95.129.20.28,WIRELESS,Wireless Logic,GE5,No,VCG-ADSL,109.68.14.230,WIRED,Vcg Technology Services,GE6,No
239_Nottingham_Victoria,2,Kerv-TRB,95.129.20.47,WIRELESS,Wireless Logic,GE5,Yes,VCG-FTTP,109.68.15.156,WIRED,Vcg Technology Services,GE6,No
240_Merry_Hill,2,Kerv-TRB,95.129.20.42,WIRELESS,Wireless Logic,GE3,Yes,VCG-ADSL,31.117.101.251,WIRED,BT,GE6,No
241_Milton_Keynes,3,Kerv-USB-4G,95.129.20.17,WIRELESS,Wireless Logic,USB2,Yes,VCG-ADSL,31.117.100.198,WIRED,BT,GE6,No,Kerv-TRB,95.129.20.30,WIRELESS,Wireless Logic,GE5,No
242_Trafford_Centre,2,VCG-SoGEA,109.68.15.2,WIRED,Vcg Technology Services,GE6,No,Kerv-TRB-4G,95.129.20.28,WIRELESS,Wireless Logic,GE5,Yes
243_Bluewater,2,Kerv-TRB,95.129.20.41,WIRELESS,Wireless Logic,GE5,No,VCG-ADSL,109.68.15.3,WIRED,Vcg Technology Services,GE6,No
927_Store_Test_Network,1,Telcom Networks,79.173.130.67,WIRED,Telcom Networks,GE6,No
927_Warehouse_Moorfield,2,Luminet-FTTP,79.173.130.68,WIRED,,GE6,No,StarLink-satellite,169.155.244.2,WIRED,,GE5,No
Head_Office,3,Luminet 10Gb Fibre - GE6,79.173.151.101,WIRED,,GE6,No,Luminet 2Gb Wireless - GE4,79.173.151.93,WIRED,,GE4,No,Luminet 1Gb Fibre - GE5,79.173.132.172,WIRED,,GE5,No
